([31], [5, 6, 12, 13], [(5, 5), (5, 6), (6, 13), (6, 13), (12, 12), (12, 13)])
([51], [5, 6, 13, 14], [(5, 5), (5, 6), (6, 14), (6, 14), (13, 13), (13, 14)])
([59], [3, 4, 10, 11], [(3, 3), (3, 4), (4, 11), (4, 11), (10, 10), (10, 11)])
([69], [3, 4, 10, 11], [(3, 3), (3, 4), (4, 11), (4, 11), (10, 10), (10, 11)])
([82], [5, 6, 11, 12], [(5, 5), (5, 6), (6, 12), (6, 12), (11, 11), (11, 12)])
([128], [3, 4, 11, 12], [(3, 3), (3, 4), (4, 12), (4, 12), (11, 11), (11, 12)])
([151], [3, 4, 9, 10], [(3, 3), (3, 4), (4, 10), (4, 10), (9, 9), (9, 10)])
([167], [3, 4, 9, 10], [(3, 3), (3, 4), (4, 10), (4, 10), (9, 9), (9, 10)])
([168], [2, 3, 9, 10], [(2, 2), (2, 3), (3, 10), (3, 10), (9, 9), (9, 10)])
([169], [2, 3, 9, 10], [(2, 2), (2, 3), (3, 10), (3, 10), (9, 9), (9, 10)])
([176], [5, 6, 12, 13], [(5, 5), (5, 6), (6, 13), (6, 13), (12, 12), (12, 13)])
([206], [2, 3, 8, 9], [(2, 2), (2, 3), (3, 9), (3, 9), (8, 8), (8, 9)])
([207], [2, 3, 10, 11], [(2, 2), (2, 3), (3, 11), (3, 11), (10, 10), (10, 11)])
([256], [5, 6, 10, 11], [(5, 5), (5, 6), (6, 11), (6, 11), (10, 10), (10, 11)])
([302], [3, 4, 9, 10], [(3, 3), (3, 4), (4, 10), (4, 10), (9, 9), (9, 10)])
([303], [2, 3, 10, 11], [(2, 2), (2, 3), (3, 11), (3, 11), (10, 10), (10, 11)])
([333], [2, 3, 8, 9], [(2, 2), (2, 3), (3, 9), (3, 9), (8, 8), (8, 9)])
([358], [3, 4, 8, 9], [(3, 3), (3, 4), (4, 9), (4, 9), (8, 8), (8, 9)])
([359], [5, 6, 9, 10], [(5, 5), (5, 6), (6, 10), (6, 10), (9, 9), (9, 10)])
([360], [5, 6, 9, 10], [(5, 5), (5, 6), (6, 10), (6, 10), (9, 9), (9, 10)])
([361], [2, 3, 8, 9], [(2, 2), (2, 3), (3, 9), (3, 9), (8, 8), (8, 9)])
([483], [2, 3, 8, 9], [(2, 2), (2, 3), (3, 9), (3, 9), (8, 8), (8, 9)])
([662], [2, 3, 7, 8], [(2, 2), (2, 3), (3, 8), (3, 8), (7, 8), (7, 7)])
([663], [3, 4, 7, 8], [(3, 3), (3, 4), (4, 8), (4, 8), (7, 7), (7, 8)])
([701], [2, 3, 7, 8], [(2, 2), (2, 3), (3, 8), (3, 8), (7, 8), (7, 7)])
([702], [2, 3, 7, 8], [(2, 2), (2, 3), (3, 8), (3, 8), (7, 8), (7, 7)])
([726], [2, 3, 7, 8], [(2, 2), (2, 3), (3, 8), (3, 8), (7, 8), (7, 7)])
([741], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 7), (3, 7), (6, 6), (6, 7)])
([938], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 7), (3, 7), (6, 6), (6, 7)])
([945], [2, 3, 6, 7], [(2, 2), (2, 3), (3, 7), (3, 7), (6, 6), (6, 7)])
