([7], [7, 13, 14, 15], [(7, 15), (7, 14), (7, 13), (13, 14), (13, 15), (14, 15)])
([19], [5, 13, 14, 15], [(5, 15), (5, 14), (5, 13), (13, 14), (13, 15), (14, 15)])
([22], [7, 12, 14, 15], [(7, 14), (7, 12), (7, 15), (12, 14), (12, 15), (14, 15)])
([36], [6, 13, 14, 15], [(6, 13), (6, 14), (6, 15), (13, 14), (13, 15), (14, 15)])
([38], [6, 12, 14, 15], [(6, 12), (6, 14), (6, 15), (12, 14), (12, 15), (14, 15)])
([40], [5, 13, 14, 15], [(5, 15), (5, 14), (5, 13), (13, 14), (13, 15), (14, 15)])
([41], [6, 13, 14, 15], [(6, 15), (6, 13), (6, 14), (13, 14), (13, 15), (14, 15)])
([42], [6, 13, 14, 15], [(6, 15), (6, 13), (6, 14), (13, 14), (13, 15), (14, 15)])
([54], [12, 13, 14, 15], [(12, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 15)])
([64], [4, 10, 14, 15], [(4, 10), (4, 14), (4, 15), (10, 14), (10, 15), (14, 15)])
([70], [6, 13, 14, 15], [(6, 13), (6, 14), (6, 15), (13, 14), (13, 15), (14, 15)])
([73], [5, 12, 14, 15], [(5, 12), (5, 14), (5, 15), (12, 14), (12, 15), (14, 15)])
([74], [4, 13, 14, 15], [(4, 13), (4, 14), (4, 15), (13, 14), (13, 15), (14, 15)])
([75], [4, 13, 14, 15], [(4, 13), (4, 14), (4, 15), (13, 14), (13, 15), (14, 15)])
([76], [4, 10, 14, 15], [(4, 10), (4, 14), (4, 15), (10, 14), (10, 15), (14, 15)])
([77], [5, 12, 14, 15], [(5, 12), (5, 14), (5, 15), (12, 14), (12, 15), (14, 15)])
([78], [6, 12, 14, 15], [(6, 15), (6, 12), (6, 14), (12, 14), (12, 15), (14, 15)])
([79], [7, 12, 14, 15], [(7, 14), (7, 12), (7, 15), (12, 14), (12, 15), (14, 15)])
([80], [6, 12, 14, 15], [(6, 15), (6, 12), (6, 14), (12, 14), (12, 15), (14, 15)])
([81], [6, 10, 14, 15], [(6, 10), (6, 14), (6, 15), (10, 14), (10, 15), (14, 15)])
([86], [4, 13, 14, 15], [(4, 15), (4, 14), (4, 13), (13, 14), (13, 15), (14, 15)])
([89], [4, 13, 14, 15], [(4, 13), (4, 14), (4, 15), (13, 14), (13, 15), (14, 15)])
([90], [5, 13, 14, 15], [(5, 15), (5, 14), (5, 13), (13, 15), (13, 14), (14, 15)])
([91], [5, 11, 13, 15], [(5, 11), (5, 13), (5, 15), (11, 13), (11, 15), (13, 15)])
([93], [4, 13, 14, 15], [(4, 15), (4, 14), (4, 13), (13, 14), (13, 15), (14, 15)])
([96], [5, 13, 14, 15], [(5, 13), (5, 14), (5, 15), (13, 14), (13, 15), (14, 15)])
([100], [5, 11, 13, 15], [(5, 11), (5, 13), (5, 15), (11, 13), (11, 15), (13, 15)])
([105], [4, 13, 14, 15], [(4, 15), (4, 14), (4, 13), (13, 14), (13, 15), (14, 15)])
([106], [4, 13, 14, 15], [(4, 13), (4, 14), (4, 15), (13, 14), (13, 15), (14, 15)])
([108], [11, 13, 14, 15], [(11, 13), (11, 14), (11, 15), (13, 14), (13, 15), (14, 15)])
([114], [3, 9, 14, 15], [(3, 9), (3, 14), (3, 15), (9, 14), (9, 15), (14, 15)])
([115], [5, 12, 14, 15], [(5, 12), (5, 14), (5, 15), (12, 14), (12, 15), (14, 15)])
([116], [7, 11, 14, 15], [(7, 11), (7, 14), (7, 15), (11, 14), (11, 15), (14, 15)])
([117], [5, 12, 14, 15], [(5, 12), (5, 14), (5, 15), (12, 14), (12, 15), (14, 15)])
([118], [6, 13, 14, 15], [(6, 15), (6, 14), (6, 13), (13, 14), (13, 15), (14, 15)])
([119], [6, 12, 14, 15], [(6, 15), (6, 12), (6, 14), (12, 14), (12, 15), (14, 15)])
([120], [6, 11, 14, 15], [(6, 11), (6, 14), (6, 15), (11, 14), (11, 15), (14, 15)])
([121], [6, 12, 14, 15], [(6, 15), (6, 12), (6, 14), (12, 14), (12, 15), (14, 15)])
([122], [12, 13, 14, 15], [(12, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 15)])
([138], [3, 9, 13, 15], [(3, 9), (3, 13), (3, 15), (9, 13), (9, 15), (13, 15)])
([139], [3, 9, 13, 15], [(3, 9), (3, 13), (3, 15), (9, 13), (9, 15), (13, 15)])
([140], [5, 9, 13, 15], [(5, 9), (5, 13), (5, 15), (9, 13), (9, 15), (13, 15)])
([142], [4, 12, 14, 15], [(4, 12), (4, 14), (4, 15), (12, 14), (12, 15), (14, 15)])
([143], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
([144], [3, 9, 13, 15], [(3, 9), (3, 13), (3, 15), (9, 13), (9, 15), (13, 15)])
([145], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
([148], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
([153], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
([154], [5, 13, 14, 15], [(5, 13), (5, 14), (5, 15), (13, 14), (13, 15), (14, 15)])
([155], [4, 8, 14, 15], [(4, 8), (4, 14), (4, 15), (8, 14), (8, 15), (14, 15)])
([156], [4, 8, 14, 15], [(4, 8), (4, 14), (4, 15), (8, 14), (8, 15), (14, 15)])
([157], [5, 9, 13, 15], [(5, 9), (5, 13), (5, 15), (9, 13), (9, 15), (13, 15)])
([162], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
([166], [3, 9, 14, 15], [(3, 9), (3, 14), (3, 15), (9, 14), (9, 15), (14, 15)])
([170], [4, 12, 14, 15], [(4, 12), (4, 14), (4, 15), (12, 14), (12, 15), (14, 15)])
([171], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
([173], [4, 13, 14, 15], [(4, 13), (4, 14), (4, 15), (13, 14), (13, 15), (14, 15)])
([174], [4, 12, 14, 15], [(4, 12), (4, 14), (4, 15), (12, 14), (12, 15), (14, 15)])
([175], [3, 9, 13, 15], [(3, 9), (3, 13), (3, 15), (9, 13), (9, 15), (13, 15)])
([177], [12, 13, 14, 15], [(12, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 15)])
([180], [4, 13, 14, 15], [(4, 13), (4, 14), (4, 15), (13, 14), (13, 15), (14, 15)])
([182], [4, 12, 14, 15], [(4, 12), (4, 14), (4, 15), (12, 14), (12, 15), (14, 15)])
([183], [12, 13, 14, 15], [(12, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 15)])
([188], [4, 12, 14, 15], [(4, 12), (4, 14), (4, 15), (12, 14), (12, 15), (14, 15)])
([189], [12, 13, 14, 15], [(12, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 15)])
([190], [4, 12, 14, 15], [(4, 12), (4, 14), (4, 15), (12, 14), (12, 15), (14, 15)])
([194], [4, 10, 14, 15], [(4, 10), (4, 14), (4, 15), (10, 14), (10, 15), (14, 15)])
([195], [5, 13, 14, 15], [(5, 13), (5, 14), (5, 15), (13, 14), (13, 15), (14, 15)])
([199], [3, 13, 14, 15], [(3, 13), (3, 14), (3, 15), (13, 14), (13, 15), (14, 15)])
