([3], [5, 8, 14, 15], [(5, 8), (5, 8), (5, 14), (8, 15), (14, 15), (14, 15)])
([6], [3, 6, 12, 15], [(3, 12), (3, 6), (3, 6), (6, 15), (12, 15), (12, 15)])
([8], [3, 6, 12, 15], [(3, 12), (3, 6), (3, 6), (6, 15), (12, 15), (12, 15)])
([9], [5, 8, 12, 14], [(5, 8), (5, 8), (5, 12), (8, 14), (12, 14), (12, 14)])
([10], [4, 7, 13, 15], [(4, 13), (4, 7), (4, 7), (7, 15), (13, 15), (13, 15)])
([11], [5, 7, 13, 14], [(5, 13), (5, 7), (5, 7), (7, 14), (13, 14), (13, 14)])
([17], [3, 5, 11, 12], [(3, 11), (3, 5), (3, 5), (5, 12), (11, 12), (11, 12)])
([18], [3, 6, 10, 14], [(3, 10), (3, 6), (3, 6), (6, 14), (10, 14), (10, 14)])
([21], [2, 5, 11, 15], [(2, 11), (2, 5), (2, 5), (5, 15), (11, 15), (11, 15)])
([23], [3, 6, 10, 14], [(3, 10), (3, 6), (3, 6), (6, 14), (10, 14), (10, 14)])
([24], [4, 7, 11, 15], [(4, 11), (4, 7), (4, 7), (7, 15), (11, 15), (11, 15)])
([25], [5, 8, 13, 14], [(5, 8), (5, 8), (5, 13), (8, 14), (13, 14), (13, 14)])
([26], [5, 7, 11, 12], [(5, 11), (5, 7), (5, 7), (7, 12), (11, 12), (11, 12)])
([27], [5, 11, 14, 15], [(5, 11), (5, 15), (5, 15), (11, 14), (11, 14), (14, 15)])
([34], [2, 5, 11, 15], [(2, 11), (2, 5), (2, 5), (5, 15), (11, 15), (11, 15)])
([35], [2, 5, 11, 15], [(2, 11), (2, 5), (2, 5), (5, 15), (11, 15), (11, 15)])
([37], [3, 5, 11, 12], [(3, 11), (3, 5), (3, 5), (5, 12), (11, 12), (11, 12)])
([50], [5, 12, 14, 15], [(5, 12), (5, 15), (5, 15), (12, 14), (12, 14), (14, 15)])
([52], [5, 10, 13, 15], [(5, 10), (5, 15), (5, 15), (10, 13), (10, 13), (13, 15)])
